Puhm,3472
Buhm,3472
Seung,3304
Sung,3304
Gal,3178
Kal,3178
Karl,3178
Garl,3178
Gahl,3178
Kahl,3178
Jwa,3130
Chwa,3130
Joa,3130
Choa,3130
Paeng,2825
P'aeng,2825
Pang,2825
Paing,2825
Peng,2825
Gan,2429
Kan,2429
Gahn,2429
Kahn,2429
Sang,2298
Sahng,2298
Seomun,1861
Suhmun,1861
Suhmoon,1861
Seomoon,1861
Somoon,1861
Gyeon,1670
Kyun,1670
Kyeon,1670
Kyoun,1670
Kyon,1670
Dan,1585
Tan,1585
Dahn,1585
Than,1585
Sun,1296
Soon,1296
Chang,1179
Ch'ang,1179
Chahng,1179
Dang,1025
Tang,1025
Dhang,1025
Thang,1025
Ong,964
Ohng,964
Oung,964
Jong,962
Chong,962
Hwa,945
Howa,945
Hoa,945
Dokgo,807
Tokko,807
Dokko,807
Toko,807
Tokko,807
Dockko,807
Dogko,807
Togko,807
Doko,807
Bing,727
Ping,727
A,632
Ah,632
Ar,632
Pyeong,608
Pyung,608
Pyong,608
Pyoung,608
Pyeng,608
Dae,606
Tae,606
Dai,606
Dea,606
Day,606
Pung,586
P'ung,586
Poong,586
Puhng,586
Poohng,586
Gung,562
Kung,562
Koong,562
Kwoong,562
Jeom,516
Heung,462
Huhng,462
Nae,440
Nai,440
Nay,440
Cho,351
Ch'o,351
Chu,351
Chou,351
Choh,351
Nang,341
Nahng,341
Lang,341
Hae,322
Hay,322
Hai,322
Pan,290
P'an,290
Pahn,290
Phan,290
Parn,290
Pann,290
Yeong,259
Young,259
Pil,251
P'il,251
Phil,251
Peel,251
Gwok,248
Kwog,248
Gwog,248
Geun,242
Keun,242
Mae,222
May,222
Dongbang,220
Tongbang,220
Tongpang,220
Dongpang,220
Mi,199
Mee,199
Mih,199
Meeh,199
Su,199
Soo,199
Sooh,199
Yo,198
Ya,180
Yah,180
Yar,180
Muk,179
Mook,179
Ja,178
Cha,178
Man,172
Mann,172
Mahn,172
Un,170
Woon,170
Wun,170
Whun,170
Wuhn,170
Hwan,157
Hoan,157
Howan,157
Gok,155
Kok,155
Kog,155
Gog,155
Tan,155
T'an,155
Tahn,155
Tann,155
Po,129
P'o,129
Pho,129
Poh,129
Yeop,127
Yeob,127
Youb,127
Yeop,127
Yub,127
Yup,127
Yob,127
Ae,123
Ay,123
Ai,123
Don,115
Ton,115
Dohn,115
Tohn,115
Hu,114
Hoo,114
Hooh,114
Huh,114
Hak,101
Hag,101
Hahk,101
Hahg,101
Noe,92
Roi,92
Noi,92
Bi,90
Pi,90
Bee,90
Pee,90
Bih,90
Bhi,90
Pih,90
Phi,90
Gae,86
Kae,86
Kay,86
Gai,86
Kai,86
Sip,82
Ship,82
Sihp,82
Seep,82
Sib,82
Seeb,82
Sihb,82
Nan,80
Nahn,80
Rahn,80
Nhan,80
Rhan,80
Jun,72
Chun,72
Juhn,72
Jhun,72
Choon,72
Joon,72
Chuhn,72
Myo,61
Myoh,61
Mio,61
Dam,57
Tam,57
Tham,57
Dham,57
Dahm,57
Tahm,57
Janggok,52
Changgok,52
Gangjeon,51
Gangjun,51
Gangjon,51
Kangjun,51
Kangjeon,51
Kangjoun,51
Gangjoun,51
Sam,51
Sahm,51
Sarm,51
Eogeum,51
Eokeum,51
Okeum,51
Okum,51
Ukeum,51
Ugeum,51
Ukum,51
Jeo,48
Gun,46
Kun,46
Koon,46
Goon,46
Guhn,46
Kuhn,46
Gyo,41
Kyo,41
Kyoh,41
Gyoh,41
Nu,24
Noo,24
Roo,24
Sobong,18
Sohbong,18
Sopong,18
Shobong,18
Sohpong,18
Shopong,18
Mangjeol,10
Mangjul,10
Mangjuhl,10
Mangjoul,10
Jeung,6
Jung,6
Cheung,6
Chung,6
Jeup,4
Jup,4
Jub,4
Jeub,4
Cheup,4
Chup,4
Cheub,4
Chub,4
